"UF","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"AC","178000","194000","194000","303000","304000","327000","318000","328000","345000"
"AL","1305000","1235000","1255000","1280000","1346000","1404000","1403000","1351000","1398000"
"AM","900000","961000","1062000","1411000","1505000","1468000","1455000","1498000","1621000"
"AP","174000","202000","198000","229000","250000","239000","280000","301000","285000"
"BA","6385000","6765000","6802000","7084000","7273000","7247000","7311000","7655000","7800000"
"CE","3622000","3676000","3853000","3934000","4118000","4150000","4152000","4338000","4412000"
"DF","1081000","1109000","1135000","1166000","1260000","1268000","1331000","1358000","1373000"
"ES","1635000","1709000","1743000","1762000","1817000","1835000","1829000","1860000","1918000"
"GO","2639000","2687000","2734000","2876000","2933000","2973000","3125000","3199000","3300000"
"MA","2784000","2779000","2832000","2940000","3073000","2994000","3122000","2984000","2956000"
"MG","9288000","9714000","9840000","9974000","10411000","10689000","10599000","10855000","11215000"
"MS","1066000","1158000","1156000","1165000","1207000","1252000","1265000","1298000","1305000"
"MT","1339000","1357000","1370000","1505000","1546000","1515000","1565000","1612000","1664000"
"PA","1926000","2064000","2180000","3319000","3370000","3397000","3432000","3503000","3515000"
"PB","1489000","1649000","1688000","1709000","1783000","1848000","1740000","1754000","1684000"
"PE","3744000","3890000","3921000","3949000","4116000","4111000","4148000","4142000","4085000"
"PI","1382000","1554000","1606000","1673000","1669000","1649000","1670000","1747000","1726000"
"PR","5166000","5370000","5448000","5605000","5635000","5783000","5863000","5842000","5939000"
"RJ","6945000","7109000","7258000","7432000","7571000","7720000","7694000","7903000","7990000"
"RN","1254000","1208000","1321000","1348000","1423000","1472000","1548000","1586000","1635000"
"RO","418000","467000","477000","778000","778000","762000","778000","790000","834000"
"RR","120000","107000","139000","161000","198000","208000","210000","200000","202000"
"RS","5751000","5871000","6005000","6011000","6093000","6116000","6153000","6152000","6193000"
"SC","2965000","3077000","3153000","3277000","3315000","3391000","3473000","3442000","3612000"
"SE","844000","907000","936000","994000","1022000","1005000","1000000","989000","1040000"
"SP","19008000","19524000","19825000","20114000","21063000","21379000","21737000","22094000","22330000"
"TO","609000","620000","646000","660000","668000","672000","671000","720000","733000"
