id,numero,count(numero)
1208,00005,61398
9,00102,56837
4,00037,23471
4624,00195,22685
8790,00201,16384
4842,00093,12146
704,00040,10632
5293,00007,9279
1501,00150,9171
5822,00202,6369
1848,00100,6091
9,00002,5061
1677,00155,4568
8262,00154,3947
4437,00146,3781
4229,00039,3665
1208,00105,3656
1835,00022,3400
3899,00192,3259
727,00145,3085
9,00114,2992
35,00097,2894
768,00156,2546
4746,00061,2390
9491,00149,2156
203,00109,2072
4111,00001,1904
1358,00153,1873
5652,00062,1828
1835,00024,1769
4111,00034,1761
5047,00169,1608
2783,00103,1533
6979,00167,1496
2859,00170,1487
2773,00008,1411
8367,00182,1374
5169,00129,1211
11368,00203,1210
12765,00212,1095
3968,00030,1093
4002,00173,1070
2528,00198,1035
6037,00084,1023
1027,00021,1017
8778,00194,994
4793,00096,954
8648,00006,938
1404,00025,921
15915,00237,902
4157,00042,876
4272,00048,843
248,00029,787
5835,00060,765
13126,00239,762
1697,00165,726
11479,00196,707
7972,00003,705
9,00018,704
1634,00125,696
11357,00148,682
1606,00226,680
6260,00127,649
1307,00151,612
6849,00071,598
2902,00142,538
7265,00098,524
659,00020,521
7068,00175,512
1027,00023,489
5869,00041,483
7265,00144,459
985,00053,454
17518,00059,451
2803,00236,450
9656,00225,420
5269,00058,388
1307,00052,374
1332,00049,373
3968,00035,372
5015,00014,353
32639,0103A,351
2859,00184,348
6939,00158,347
6877,00036,330
4952,00027,326
6037,00207,320
6037,00206,319
5258,00133,315
6037,00205,305
9464,00208,298
1670,00227,298
1441,00121,297
20831,00197,282
5766,00168,278
17006,00069,272
4002,00174,270
4548,00231,251
6924,00075,244
10888,00220,238
