Origem,Processos
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,185
COLÉGIO REC.DOS JUIZADOS ESP. DE PEQ. CAUSAS/GO,18
1º COLG. RECURSAL DOS JUIZ.ESPECIAIS CIVEIS/PE  ,15
1º COL.REC.DOS JUIZ.ESP.CIV.DA COM. DA CAPITAL/SP,15
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,13
2º COLEGIO REC. JUIZ.ESP.CIVEIS DA  CAPITAL/SP,8
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,3
JUIZADOS ESPECIAIS CIVEIS E CRIMINAIS DE MANAUS/AM,2
COLEGIO REC.DOS JUIZADOS ESP.CIVEIS/ES,2
JUIZADO ESP. CIV. DEF. DO CONSUMIDOR DE ITABUNA/BA,1
3º COLEGIO REC.JUIZ.ESP.CIV.COM.DA CAPITAL/SP ,1
1ª TURMA REC.JUIZ.ESP.CIV.E CRIMINAIS COM.DE NATAL,1
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,1
TURMA JULGAD. CIVEL DOS JUIZ.ESPECIAIS DE GOIANIA,1
JUIZADOS ESP.PEQ.CAUSAS COMARCA DE ARARAQUARA,1
JUIZADOS ESPECIAIS CÍVEIS E CRIMINAIS - RN,1
COLÉGIO REC. DO JUIZADO ESPECIAL DE SANTOS,1
TURMA JULG.CÍVEL JUIZADOS ESPECIAIS DE ANAPOLIS/GO,1
2ª TURMA REC.CIVEIS DOS JUIZ.ESPECIAIS DE CUIABA,1
COLÉGIO REC.JUIZ.ESP.CIVEL DA COM.DE SAO CARLOS/SP,1
