Origem,Num. de Processos
1º COL.REC.DOS JUIZ.ESP.CIV.DA COM. DA CAPITAL/SP,69
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,40
2º COLEGIO REC.DOS JUIZ. ESP.CIVEIS DA CAPITAL/SP,20
2º COLEGIO REC. JUIZ.ESP.CIVEIS DA  CAPITAL/SP,18
4º COL.REC DOS JUIZ.ESPECIAIS CÍVEIS DE SAO PAULO,12
3º COLEGIO REC.JUIZ.ESP.CIV.COM.DA CAPITAL/SP ,10
COLEGIO REC.JUIZ.ESP.CIVEIS E CRIMINAIS DO ESTADO ,10
COLÉGIO RECURSAL DO JUIZADO DE PEQUENAS CAUSAS,8
JUIZADO ESPECIAL CIVEL DA COMARCA DE BAURU ,7
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,5
COLÉGIO REC. DO JUIZADO ESPECIAL DE SANTOS,5
3º COLEGIO REC.DO JUIZ. ESP. DE PEQUENAS CAUSAS/SP,4
COLEGIO REC.DOS JUIZADOS ESP.CIVEIS DE BAURU/SP,2
3º COLEGIO REC.JUIZ.ESP.CIVEIS DA CAPITAL/SP,2
JUIZADO ESPECIAL CIVEL DA COMARCA DE FRANCA/SP,2
JUIZADO ESPECIAL CÍVEL DA COMARCA DE LINS/SP,2
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. ITÚ/SP,2
COLEGIO REC.JUIZ.ESP.CIVEL COMAR. PRES.PRUDENTE/SP,2
JUIZADO ESPECIAL CIVEL DA COMARCA DE MARILIA ,1
COLEGIO REC.JUIZ.ESP.CIVEL DA COM.DE CATANDUVA/SP,1
COLÉGIO RECURSAL JUIZ.ESP.CÍVEL DA COMARCA JUNDIAI,1
JUIZADOS ESPECIAIS DE PEQUENAS CAUSAS  DE BAURU/SP,1
JUIZADO ESPECIAL CIVEL DA COMARCA DE SOROCABA,1
JUIZADO ESPECIAL CIVEL DA COMARCA DE SUZANO/SP,1
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,1
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,1
JUIZADOS ESP.PEQ.CAUSAS COMARCA DE ARARAQUARA,1
2º COLEGIO REC.DOS JUIZADOS ESP. DE PEQ. CAUSAS/SP,1
COLÉGIO REC.JUIZ.ESP.CIVEL COMARCA  GUARULHOS/SP,1
JUIZADO ESPECIAL CÍVEL DA COMARCA DE AVARÉ,1
COLÉGIO REC.JUIZ.ESP.CÍVEL DA COM. SÃO VICENTE/SP,1
COLÉGIO REC.JUIZ. ESPECIAL CÍVEL COMARCA JALES/SP ,1
COLEGIO REC.DOS JUIZ.ESP.CIV.DA COM.DA CAPITAL/PE,1
