origem,processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,2623
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,1632
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SANTA CATARINA,371
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,61
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,48
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,18
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,14
JUIZADOS ESPECIAIS (ART.98 DA C.F.),2
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,2
TURMA NACIONAL DE UNIFORMIZAÇÃO DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,2
JUIZADOS ESPECIAIS CIVEIS E CRIMINAIS DE MANAUS/AM,2
JUIZADO ESPECIAL CIVEL E CRIMINAL - COMARCA,1
COLEGIO REC.JUIZ.ESP.CIVEIS E CRIMINAIS DO ESTADO ,1
TURMA NAC.DE UNIFORMIZAÇAO DOS JUIZ.ESP.FEDERAIS,1
