corte, CLASSE
Ordinária, AÇÃO CAUTELAR
Ordinária, AÇÃO CÍVEL ORIGINÁRIA
Constitucional, AÇÃO DECLARATÓRIA DE CONSTITUCIONALIDADE
Constitucional, AÇÃO DIRETA DE INCONSTITUCIONALIDADE
Constitucional, AÇÃO DIRETA DE INCONSTITUCIONALIDADE POR OMISSÃO
Ordinária, AÇÃO ORIGINÁRIA
Ordinária, AÇÃO ORIGINÁRIA ESPECIAL
Ordinária, AÇÃO PENAL
Ordinária, AÇÃO RESCISÓRIA
Recursal de Massa, AGRAVO DE INSTRUMENTO
Ordinária, APELAÇÃO CÍVEL
Constitucional, ARGÜIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL
Ordinária, ARGÜIÇÃO DE IMPEDIMENTO
Ordinária, ARGUIÇÃO DE RELEVÂNCIA
Ordinária, ARGÜIÇÃO DE SUSPEIÇÃO
Ordinária, CARTA ROGATÓRIA
Ordinária, COMUNICAÇÃO
Ordinária, CONFLITO DE ATRIBUIÇÕES
Ordinária, CONFLITO DE COMPETÊNCIA
Ordinária, CONFLITO DE JURISDIÇÃO
Ordinária, EXCEÇÃO DA VERDADE
Ordinária, EXCEÇÃO DE INCOMPETÊNCIA
Ordinária, EXCEÇÃO DE LITISPENDÊNCIA
Ordinária, EXCEÇÃO DE SUSPEIÇÃO
Ordinária, EXTRADIÇÃO
Ordinária, HABEAS CORPUS
Ordinária, HABEAS DATA
Ordinária, INQUÉRITO
Ordinária, INTERVENÇÃO FEDERAL
Constitucional, MANDADO DE INJUNÇÃO
Ordinária, MANDADO DE SEGURANÇA
Ordinária, OPOSIÇÃO EM AÇÃO CIVIL ORIGINÁRIA
Ordinária, PETIÇÃO
Ordinária, PETIÇÃO AVULSA
Ordinária, PRISÃO PREVENTIVA PARA EXTRADIÇÃO
Ordinária, PROCESSO ADMINISTRATIVO
Constitucional, PROPOSTA DE SÚMULA VINCULANTE
Ordinária, QUEIXA-CRIME
Ordinária, RECLAMAÇÃO
Ordinária, RECURSO CRIME
Recursal de Massa, RECURSO EXTRAORDINÁRIO
Recursal de Massa, RECURSO EXTRAORDINÁRIO COM AGRAVO
Ordinária, RECURSO ORD. EM MANDADO DE SEGURANÇA
Ordinária, RECURSO ORDINÁRIO EM HABEAS CORPUS
Ordinária, RECURSO ORDINÁRIO EM HABEAS DATA
Ordinária, RECURSO ORDINÁRIO EM MANDADO DE INJUNÇÃO
Ordinária, REPRESENTAÇÃO
Ordinária, REVISÃO CRIMINAL
Ordinária, SENTENÇA ESTRANGEIRA
Ordinária, SENTENÇA ESTRANGEIRA CONTESTADA
Ordinária, SUSPENSÃO DE LIMINAR
Ordinária, SUSPENSÃO DE SEGURANÇA
Ordinária, SUSPENSÃO DE TUTELA ANTECIPADA
